id,kanji,hiragana,sentence
1,引く,ひく,線をひく。
2,羽,はね,鳥のはねを見る。
3,雲,くも,空に白いくもが浮かぶ。
4,園,えん,動物えんに行く。
5,遠い,とい,学校まで遠い。
6,何,なに,なにをしているの？
7,科,か,理か実験をする。
8,夏,なつ,楽しいなつ休み。
9,家,いえ,自分のいえに帰る。
10,歌,うた,みんなでうたを歌う。
11,画,が,映画を見る。
12,回,かい,公園をなんかいもまわる。
13,会う,あう,ともだちにあう。
14,海,うみ,うみで泳ぐ。
15,絵,え,すてきなえを描く。
16,外,そと,そとで遊ぶ。
17,角,かど,かどを曲がる。
18,楽,たの,たのしい一日。
19,活,かつ,部活にせいこうする。
20,間,あいだ,時間とあいだ。
21,丸,まる,大きなまるを描く。
22,岩,いわ,大きないわがある。
23,顔,かお,かおを洗う。
24,汽,き,きしゃが走る。
25,記,き,日記をつける。
26,帰る,かえる,家にかえる。
27,弓,ゆみ,ゆみをひく。
28,牛,うし,うしのミルクを飲む。
29,魚,さかな,さかなが泳ぐ。
30,京,きょう,とうきょうへ行く。
31,強,つよ,つよい風が吹く。
32,教える,おしえる,勉強をおしえる。
33,近,ちか,ちかくの公園。
34,兄,あに,わたしのあに。
35,形,かたち,きれいにかたち。
36,計,けい,とけいを見る。
37,元,げん,げんきに過ごす。
38,原,はら,野はらを走る。
39,言,い,本当のことをいう。
40,古,ふる,ふるい本を読む。
41,午後,ごご,ごごの授業。
42,語,ご,えいごを習う。
43,工,こう,こうじょうを見学する。
44,公,こう,こうえんで遊ぶ。
45,広,ひろ,ひろいグラウンド。
46,交,こう,こうばんに届ける。
47,光,ひかり,太陽のひかり。
48,考,かんが,よくかんがえる。
49,行,い,学校へいく。
50,高,たか,たかい山に登る。
51,黄,き,きいろいお花。
52,合,あ,力をあわせる。
53,谷,たに,深いたに川。
54,国,くに,自分のくに。
55,黒,くろ,くろい服を着る。
56,今,いま,いま何時ですか。
57,才,さい,７さいになる。
58,細,ほそ,ほそい糸を使う。
59,作,つく,工作をつくる。
60,算,さん,さんすうの勉強。
61,止,と,とまる。
62,市,し,しやくしょに行く。
63,矢,や,やを射る。
64,姉,あね,わたしのあね。
65,思,おも,そうおもう。
66,紙,かみ,かみに絵を描く。
67,寺,てら,古いおてら。
68,自,じ,じぶんの力でやる。
69,時,とき,たのしいときを過ごす。
70,7,なな,ななつの星を見る。
71,室,しつ,きょうしつに入る。
72,社,しゃ,かいしゃで働く。
73,弱,よわ,よわい虫を守る。
74,首,くび,くびをかしげる。
75,重,おも,おもい荷物を持つ。
76,朱,しゅ,しゅいろのペン。
77,取,と,ボールをとる。
78,主,おも,おもな原因。
79,守,まも,約束をまもる。
80,殊,しゅ,とくしゅな能力。
81,酒,さけ,おさけは大人になってから。
82,受,う,テストをうける。
83,州,しゅう,本しゅうに住む。
84,拾,ひろ,ゴミをひろう。
85,終,お,授業がおわる。
86,習,なら,ピアノをならう。
87,集,あつ,ともだちがあつまる。
88,充,じゅう,じゅうぶん満足する。
89,住,す,まちにすむ。
90,重,じゅう,たいじゅうをはかる。
91,春,はる,あたたかいはる。
92,書,か,手紙をかく。
93,少,すこ,すこし休む。
94,場,ば,あそびばに行く。
95,色,いろ,いろいろないろ。
96,食,た,ご飯をたべる。
97,心,こころ,やさしいこころ。
98,新,あたら,あたらしい靴。
99,親,おや,おやと一緒に暮らす。
100,図,ず,ちずを見る。
101,数,かず,かずをかぞえる。
102,西,にし,にしに沈む太陽。
103,声,こえ,大きなこえ。
104,星,ほし,よぞらのほし。
105,晴,は,あしたははれる。
106,切,き,ハサミできりぬく。
107,雪,ゆき,ゆきが降る。
108,船,ふね,大きなふねに乗る。
109,線,せん,まっすぐなせん。
110,前,まえ,まえに進む。
111,組,くみ,１ねん１くみ。
112,走,はし,グラウンドをはしる。
113,多,おお,人がおおく集まる。
114,太,ふと,ふとい丸太。
115,体,からだ,からだを動かす。
116,台,だい,だいの上にのせる。
117,地,ち,ちきゅうを守る。
118,池,いけ,いけに魚がいる。
119,知,し,本当の理由をしる。
120,茶,ちゃ,おちゃを飲む。
121,昼,ひる,ひるごはんを食べる。
122,長,なが,ながい鉛筆。
123,鳥,とり,とりが飛ぶ。
124,朝,あさ,あさ起きて顔を洗う。
125,直,なお,まちがいをなおす。
126,通,とお,道をとおる。
127,弟,おとうと,わたしのおとうと。
128,店,みせ,みせで買い物をする。
129,点,てん,テストで100てんをとる。
130,電,でん,でんしゃに乗る。
131,刀,かたな,かたなを見せる。
132,冬,ふゆ,さむいふゆ。
133,当,あ,クイズがあたる。
134,東,ひがし,ひがしの空から日がのぼる。
135,答,こた,こたえを書く。
136,頭,あたま,あたまを使う。
137,同,おな,おなじ服を着る。
138,道,みち,みちを歩く。
139,読,よ,本をよむ。
140,南,みなみ,みなみの島。
141,馬,うま,うまに乗る。
142,売,う,商品をうる。
143,買,か,買い物でかう。
144,麦,むぎ,むぎ畑が広がる。
145,半,はん,はんぶんこにする。
146,番,ばん,いちばんを目指す。
147,父,ちち,わたしのちち。
148,風,かぜ,つよいかぜが吹く。
149,分,ふん,５ふん待つ。
150,文,ぶん,ぶんしょうを読む。
151,聞,き,話しをきく。
152,米,こめ,おいしいこめを食べる。
153,歩,ある,あるいて学校に行く。
154,母,はは,わたしのはは。
155,方,ほう,あっちのほうを見る。
156,北,きた,きたの風が吹く。
157,毎,まい,まいあさ早起きする。
158,妹,いもうと,わたしのいもうと。
159,万,まん,いちまんえん。
160,明,あかる,あかるい部屋。
