id,kanji,hiragana,meaning
1,哀毀骨立,あいきこつりつ,哀しみのあまり体を毀し、骨と皮ばかりになるほど痩せること。
2,握髪吐哺,あくはつとほ,熱心にすぐれた人材を探し求めることのたとえ。
3,衣錦還郷,いきんかんきょう,出世して故郷に帰ること。
4,一行三昧,いちぎょうざんまい,一つの修行法を一心に励むこと。
5,一目瞭然,いちもくりょうぜん,ほんの少し見ただけでも、はっきりとわかること。
6,一旦緩急,いったんかんきゅう,いざというとき。
7,一筆勾消,いっぴつこうしょう,今までのものを全て取り消すこと。
8,鬱鬱勃勃,うつうつぼつぼつ,生気が満ちる様子のこと。
9,円頓止観,えんどんしかん,人格を完成した完璧な悟りの境地をいう言葉。
10,横眉怒目,おうびどもく,きびしい表情や怒気をみなぎらせた顔つきのこと。
11,岡目八目,おかめはちもく,当事者よりも、傍観者のほうが物事の情勢を正確に判断できることのたとえ。
12,怨親平等,おんしんびょうどう,敵を憎まず、味方をひいきせず、両者を平等に扱うこと。
13,怨憎会苦,おんぞうえく,自分が怨んだり憎んだりしている相手とも会わなければならない苦しみのこと。
14,怨敵退散,おんてきたいさん,「怨むべき敵よ、退散するがよい」という意味。
15,苛政猛虎,かせいもうこ,悪政は人を食べる虎よりも人々を苦しめるということ。
16,甘言蜜語,かんげんみつご,相手に気に入られるための心地よい言葉。
17,簡単明瞭,かんたんめいりょう,単純ではっきりとしていること。
18,蓋棺事定,がいかんじてい,その人の生前の評価はあてにならず、死後になってはじめて定まること。
19,外巧内嫉,がいこうないしつ,見た目はわからないようにしているが、心の中ではねたんでいること
20,蓋天蓋地,がいてんがいち,この世の全てに仏の教えが広まること。
